LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha ,AvgBeta,AvgGamma,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,View
1736.734523,2.443528112,821.0659812,-0.078488726,812.8440546,-0.573975806,465.0829155,0.116489326,234.4834477,0.414217462,557.935738,0.802022777,1278.900252,638.9634851,396.2095929,1201.968082,600.1455564,407.1004727,1251.612905,593.7691661,399.0717562,1213.300876,566.2736638,407.8511008,1255.245619,533.3604082,425.4433,1128.485425,558.6951558,403.0991622,2
1753.759908,1.104880958,869.0108845,0.472602702,832.110084,-0.100915436,500.2110137,0.099957704,305.1733658,0.818965982,596.4142437,0.97554794,1311.385396,666.1605489,450.7938048,1278.900252,638.9634851,396.2095929,1201.968082,600.1455564,407.1004727,1251.612905,593.7691661,399.0717562,1213.300876,566.2736638,407.8511008,1255.245619,533.3604082,425.4433,2
1345.651755,0.113946505,934.1503009,-0.74761272,797.2406595,0.488418219,566.5673108,-0.366942726,359.288335,1.428179569,513.0568519,1.042461359,1139.901028,681.9039852,436.1725935,1311.385396,666.1605489,450.7938048,1278.900252,638.9634851,396.2095929,1201.968082,600.1455564,407.1004727,1251.612905,593.7691661,399.0717562,1213.300876,566.2736638,407.8511008,2
1152.508367,1.460615444,1076.064169,-2.227351218,826.4493691,0.018114483,515.8423791,-0.432832162,290.9152782,1.384606318,432.9914945,0.914862296,1114.286268,671.1458741,361.9533864,1139.901028,681.9039852,436.1725935,1311.385396,666.1605489,450.7938048,1278.900252,638.9634851,396.2095929,1201.968082,600.1455564,407.1004727,1251.612905,593.7691661,399.0717562,2
1141.443859,0.641399173,1099.083352,-1.664683666,859.8807479,-0.620379708,529.8970595,-1.141211994,227.8605636,0.516789207,434.3240388,0.956276314,1120.263606,694.8889037,331.0923012,1114.286268,671.1458741,361.9533864,1139.901028,681.9039852,436.1725935,1311.385396,666.1605489,450.7938048,1278.900252,638.9634851,396.2095929,1201.968082,600.1455564,407.1004727,2
1296.062211,-0.002685496,618.9832462,-0.858075209,766.2773501,-0.0738275,359.0605689,-0.046033328,210.7347711,-1.116250124,464.9666577,-0.987896149,957.5227286,562.6689595,337.8507144,1120.263606,694.8889037,331.0923012,1114.286268,671.1458741,361.9533864,1139.901028,681.9039852,436.1725935,1311.385396,666.1605489,450.7938048,1278.900252,638.9634851,396.2095929,2
1261.112401,-0.822995777,451.4662149,-0.588576826,781.9462183,0.557873933,383.6180875,-0.396970062,215.0236042,-1.178396788,538.4942746,-1.163829557,856.289308,582.7821529,376.7589394,957.5227286,562.6689595,337.8507144,1120.263606,694.8889037,331.0923012,1114.286268,671.1458741,361.9533864,1139.901028,681.9039852,436.1725935,1311.385396,666.1605489,450.7938048,2
1054.033813,-1.692561431,355.8361824,0.748039476,663.5560672,-0.013004747,269.5619258,-0.613279328,204.3101114,-1.402480971,519.3790181,-0.956205496,704.9349977,466.5589965,361.8445648,856.289308,582.7821529,376.7589394,957.5227286,562.6689595,337.8507144,1120.263606,694.8889037,331.0923012,1114.286268,671.1458741,361.9533864,1139.901028,681.9039852,436.1725935,2
1180.11213,-2.642620935,300.0731716,-1.112258045,634.2210273,1.34585855,316.345028,0.072774111,145.3720922,-1.468761539,514.9781542,-1.49274461,740.0926508,475.2830277,330.1751232,704.9349977,466.5589965,361.8445648,856.289308,582.7821529,376.7589394,957.5227286,562.6689595,337.8507144,1120.263606,694.8889037,331.0923012,1114.286268,671.1458741,361.9533864,2
1067.097125,2.571372298,341.1883451,1.775739027,647.7227377,0.696042288,288.1759218,1.116808421,124.6775881,-0.154226026,504.0783261,-0.521681808,704.1427351,467.9493298,314.3779571,740.0926508,475.2830277,330.1751232,704.9349977,466.5589965,361.8445648,856.289308,582.7821529,376.7589394,957.5227286,562.6689595,337.8507144,1120.263606,694.8889037,331.0923012,2
766.0753147,1.511902147,369.6916886,0.315141209,535.1565685,-1.438671436,233.0088707,0.37186752,116.8528031,-0.367904601,501.9551528,-0.698219227,567.8835017,384.0827196,309.403978,704.1427351,467.9493298,314.3779571,740.0926508,475.2830277,330.1751232,704.9349977,466.5589965,361.8445648,856.289308,582.7821529,376.7589394,957.5227286,562.6689595,337.8507144,2
705.3803438,0.886116825,410.1776967,-1.054401241,349.8014345,1.103109306,218.8478717,0.18734245,122.6888188,-1.152425788,493.471415,-0.321773353,557.7790203,284.3246531,308.0801169,567.8835017,384.0827196,309.403978,704.1427351,467.9493298,314.3779571,740.0926508,475.2830277,330.1751232,704.9349977,466.5589965,361.8445648,856.289308,582.7821529,376.7589394,2
651.3137735,-0.171755262,252.0856941,0.579401741,343.3465917,0.140702603,183.1525873,0.145801359,132.226985,-0.408267687,492.4563857,-1.01124564,451.6997338,263.2495895,312.3416854,557.7790203,284.3246531,308.0801169,567.8835017,384.0827196,309.403978,704.1427351,467.9493298,314.3779571,740.0926508,475.2830277,330.1751232,704.9349977,466.5589965,361.8445648,2
822.2107855,-0.261918255,720.951236,-2.199218909,775.5860052,-0.640305251,532.7868795,0.202414489,170.0076507,-0.803265685,542.4311445,-1.076557355,771.5810108,654.1864424,356.2193976,451.6997338,263.2495895,312.3416854,557.7790203,284.3246531,308.0801169,567.8835017,384.0827196,309.403978,704.1427351,467.9493298,314.3779571,740.0926508,475.2830277,330.1751232,2
1255.191056,2.152794299,710.0578107,-1.82501167,809.8474758,0.113285886,564.938604,0.233556687,287.3615431,-1.922450609,467.4794809,-1.505899305,982.6244334,687.3930399,377.420512,771.5810108,654.1864424,356.2193976,451.6997338,263.2495895,312.3416854,557.7790203,284.3246531,308.0801169,567.8835017,384.0827196,309.403978,704.1427351,467.9493298,314.3779571,2
1019.053635,1.28812192,739.4580786,-1.110239437,769.5502281,0.75075736,549.9120979,-0.14647036,199.1664053,-1.30769687,351.2860959,-1.103435367,879.2558568,659.731163,275.2262506,982.6244334,687.3930399,377.420512,771.5810108,654.1864424,356.2193976,451.6997338,263.2495895,312.3416854,557.7790203,284.3246531,308.0801169,567.8835017,384.0827196,309.403978,2
